,Adj Close
0,2017.459961
1,2003.689941
2,1994.2399899999998
3,2023.859985
4,2033.109985
5,2033.660034
6,2030.77002
7,2018.939941
8,2052.51001
9,2075.149902
10,2071.179932
11,2065.889893
12,2090.350098
13,2089.409912
14,2079.360107
15,2104.050049
16,2109.790039
17,2102.310059
18,2099.929932
19,2099.199951
20,2078.580078
21,2081.719971
22,2075.0
23,2045.969971
24,2023.040039
25,2053.189941
26,2050.439941
27,2083.580078
28,2081.23999
29,2089.169922
30,2086.590088
31,2089.139893
32,2088.8701170000004
33,2090.110107
34,2080.409912
35,2102.6298829999996
36,2079.51001
37,2049.6201170000004
38,2091.689941
39,2077.070068
40,2063.590088
41,2047.619995
42,2052.22998
43,2012.369995
44,2021.939941
45,2043.410034
46,2073.070068
47,2041.890015
48,2005.550049
49,2021.1500239999998
50,2038.969971
51,2064.290039
52,2060.98999
53,2056.5
54,2078.360107
55,2063.360107
56,2043.939941
57,2012.660034
58,2016.709961
59,1990.2600100000002
60,1943.089966
61,1922.030029
62,1923.6700440000002
63,1938.680054
64,1890.280029
65,1921.839966
66,1880.3299559999998
67,1881.3299559999998
68,1859.3299559999998
69,1868.9899899999998
70,1906.9000239999998
71,1877.0799559999998
72,1903.630005
73,1882.949951
74,1893.359985
75,1940.2399899999998
76,1939.380005
77,1903.030029
78,1912.530029
79,1915.449951
80,1880.050049
81,1853.439941
82,1852.209961
83,1851.859985
84,1829.0799559999998
85,1864.780029
86,1895.5799559999998
87,1926.819946
88,1917.8299559999998
89,1917.780029
90,1945.5
91,1921.27002
92,1929.800049
93,1951.699951
94,1948.050049
95,1932.22998
96,1978.3499760000002
97,1986.449951
98,1993.4000239999998
99,1999.9899899999998
100,2001.7600100000002
101,1979.2600100000002
102,1989.2600100000002
103,1989.569946
104,2022.189941
105,2019.640015
106,2015.930054
107,2027.219971
108,2040.589966
109,2049.580078
110,2051.600098
111,2049.800049
112,2036.709961
113,2035.939941
114,2037.050049
115,2055.01001
116,2063.949951
117,2059.73999
118,2072.780029
119,2066.1298829999996
120,2045.1700440000002
121,2066.659912
122,2041.910034
123,2047.5999760000002
124,2041.9899899999998
125,2061.719971
126,2082.419922
127,2082.780029
128,2080.72998
129,2094.340088
130,2100.800049
131,2102.399902
132,2091.47998
133,2091.580078
134,2087.790039
135,2091.699951
136,2095.149902
137,2075.810059
138,2065.300049
139,2081.429932
140,2063.3701170000004
141,2051.1201170000004
142,2050.6298829999996
143,2057.139893
144,2058.689941
145,2084.389893
146,2064.459961
147,2064.110107
148,2046.609985
149,2066.659912
150,2047.209961
151,2047.630005
152,2040.040039
153,2052.320068
154,2048.040039
155,2076.060059
156,2090.540039
157,2090.100098
158,2099.060059
159,2096.949951
160,2099.330078
161,2105.26001
162,2099.1298829999996
163,2109.409912
164,2112.1298829999996
165,2119.1201170000004
166,2115.47998
167,2096.070068
168,2079.060059
169,2075.320068
170,2071.5
171,2077.98999
172,2071.219971
173,2083.25
174,2088.899902
175,2085.449951
176,2113.320068
177,2037.410034
178,2000.540039
179,2036.089966
180,2070.77002
181,2098.860107
182,2102.949951
183,2088.550049
184,2099.72998
185,2097.899902
186,2129.899902
187,2137.159912
188,2152.139893
189,2152.429932
190,2163.75
191,2161.73999
192,2166.889893
193,2163.780029
194,2173.02002
195,2165.169922
196,2175.030029
197,2168.47998
198,2169.179932
199,2166.580078
200,2170.060059
201,2173.600098
202,2170.840088
203,2157.030029
204,2163.790039
205,2164.25
206,2182.8701170000004
207,2180.889893
208,2181.73999
209,2175.48999
210,2185.790039
211,2184.050049
212,2190.149902
213,2178.149902
214,2182.219971
215,2187.02002
216,2183.8701170000004
217,2182.639893
218,2186.899902
219,2175.439941
220,2172.469971
221,2169.040039
222,2180.3798829999996
223,2176.1201170000004
224,2170.949951
225,2170.860107
226,2179.97998
227,2186.47998
228,2186.159912
229,2181.300049
230,2127.810059
231,2159.040039
232,2127.02002
233,2125.77002
234,2147.26001
235,2139.159912
236,2139.1201170000004
237,2139.76001
238,2163.1201170000004
239,2177.179932
240,2164.689941
241,2146.100098
242,2159.929932
243,2171.3701170000004
244,2151.1298829999996
245,2168.27002
246,2161.199951
247,2150.48999
248,2159.72998
249,2160.77002
250,2153.73999
251,2163.659912
252,2136.72998
253,2139.179932
254,2132.550049
255,2132.97998
256,2126.5
257,2139.600098
258,2144.290039
259,2141.340088
260,2141.159912
261,2151.330078
262,2143.159912
263,2139.429932
264,2133.040039
265,2126.409912
266,2126.149902
267,2111.719971
268,2097.939941
269,2088.659912
270,2085.179932
271,2131.52002
272,2139.560059
273,2163.26001
274,2167.47998
275,2164.449951
276,2164.199951
277,2180.389893
278,2176.939941
279,2187.1201170000004
280,2181.899902
281,2198.179932
282,2202.939941
283,2204.719971
284,2213.350098
285,2201.719971
286,2204.659912
287,2198.810059
288,2191.080078
289,2191.949951
290,2204.709961
291,2212.22998
292,2241.350098
293,2246.189941
294,2259.530029
295,2256.959961
296,2271.719971
297,2253.280029
298,2262.030029
299,2258.070068
300,2262.530029
301,2270.76001
302,2265.179932
303,2260.959961
304,2263.790039
305,2268.8798829999996
306,2249.919922
307,2249.26001
308,2238.830078
309,2257.830078
310,2270.75
311,2269.0
312,2276.97998
313,2268.899902
314,2268.899902
315,2275.320068
316,2270.439941
317,2274.639893
318,2267.889893
319,2271.889893
320,2263.689941
321,2271.310059
322,2265.199951
323,2280.070068
324,2298.3701170000004
325,2296.679932
326,2294.689941
327,2280.899902
328,2278.8701170000004
329,2279.550049
330,2280.850098
331,2297.419922
332,2292.560059
333,2293.080078
334,2294.669922
335,2307.8701170000004
336,2316.100098
337,2328.25
338,2337.580078
339,2349.25
340,2347.219971
341,2351.159912
342,2365.3798829999996
343,2362.820068
344,2363.810059
345,2367.340088
346,2369.75
347,2363.639893
348,2395.959961
349,2381.919922
350,2383.1201170000004
351,2375.310059
352,2368.389893
353,2362.97998
354,2364.8701170000004
355,2372.600098
356,2373.469971
357,2365.449951
358,2385.26001
359,2381.3798829999996
360,2378.25
361,2373.469971
362,2344.02002
363,2348.449951
364,2345.959961
365,2343.97998
366,2341.590088
367,2358.570068
368,2361.1298829999996
369,2368.060059
370,2362.719971
371,2358.840088
372,2360.159912
373,2352.949951
374,2357.48999
375,2355.540039
376,2357.159912
377,2353.780029
378,2344.929932
379,2328.949951
380,2349.01001
381,2342.189941
382,2338.169922
383,2355.840088
384,2348.689941
385,2374.149902
386,2388.610107
387,2387.449951
388,2388.77002
389,2384.199951
390,2388.330078
391,2391.169922
392,2388.1298829999996
393,2389.52002
394,2399.290039
395,2399.3798829999996
396,2396.919922
397,2399.6298829999996
398,2394.439941
399,2390.899902
400,2402.320068
401,2400.669922
402,2357.030029
403,2365.719971
404,2381.72998
405,2394.02002
406,2398.419922
407,2404.389893
408,2415.070068
409,2415.820068
410,2412.909912
411,2411.800049
412,2430.060059
413,2439.070068
414,2436.100098
415,2429.330078
416,2433.139893
417,2433.790039
418,2431.77002
419,2429.389893
420,2440.350098
421,2437.919922
422,2432.459961
423,2433.149902
424,2453.459961
425,2437.030029
426,2435.610107
427,2434.5
428,2438.300049
429,2439.070068
430,2419.3798829999996
431,2440.689941
432,2419.699951
433,2423.409912
434,2429.01001
435,2432.540039
436,2409.75
437,2425.179932
438,2427.429932
439,2425.530029
440,2443.25
441,2447.830078
442,2459.27002
443,2459.139893
444,2460.610107
445,2473.830078
446,2473.449951
447,2472.540039
448,2469.909912
449,2477.1298829999996
450,2477.830078
451,2475.419922
452,2472.100098
453,2470.300049
454,2476.350098
455,2477.570068
456,2472.159912
457,2476.830078
458,2480.909912
459,2474.919922
460,2474.02002
461,2438.209961
462,2441.320068
463,2465.840088
464,2464.610107
465,2468.110107
466,2430.01001
467,2425.550049
468,2428.3701170000004
469,2452.51001
470,2444.040039
471,2438.969971
472,2443.050049
473,2444.23999
474,2446.300049
475,2457.590088
476,2471.649902
477,2476.550049
478,2457.850098
479,2465.540039
480,2465.100098
481,2461.429932
482,2488.110107
483,2496.47998
484,2498.3701170000004
485,2495.6201170000004
486,2500.22998
487,2503.8701170000004
488,2506.649902
489,2508.23999
490,2500.600098
491,2502.219971
492,2496.659912
493,2496.840088
494,2507.040039
495,2510.060059
496,2519.360107
497,2529.1201170000004
498,2534.580078
499,2537.73999
500,2552.070068
501,2549.330078
502,2544.72998
503,2550.639893
504,2555.23999
505,2550.929932
506,2553.169922
507,2557.639893
508,2559.360107
509,2561.26001
510,2562.100098
511,2575.209961
512,2564.97998
513,2569.1298829999996
514,2557.149902
515,2560.399902
516,2581.070068
517,2572.830078
518,2575.26001
519,2579.360107
520,2579.850098
521,2587.840088
522,2591.1298829999996
523,2590.639893
524,2594.3798829999996
525,2584.6201170000004
526,2582.300049
527,2584.840088
528,2578.8701170000004
529,2564.6201170000004
530,2585.639893
531,2578.850098
532,2582.139893
533,2599.030029
534,2597.080078
535,2602.419922
536,2601.419922
537,2627.040039
538,2626.070068
539,2647.580078
540,2642.219971
541,2639.439941
542,2629.570068
543,2629.27002
544,2636.97998
545,2651.5
546,2659.98999
547,2664.110107
548,2662.850098
549,2652.01001
550,2675.810059
551,2690.159912
552,2681.469971
553,2679.25
554,2684.570068
555,2683.340088
556,2680.5
557,2682.6201170000004
558,2687.540039
559,2673.610107
560,2695.810059
561,2713.060059
562,2723.98999
563,2743.149902
564,2747.709961
565,2751.290039
566,2748.22998
567,2767.560059
568,2786.23999
569,2776.419922
570,2802.560059
571,2798.030029
572,2810.300049
573,2832.969971
574,2839.1298829999996
575,2837.540039
576,2839.25
577,2872.8701170000004
578,2853.530029
579,2822.429932
580,2823.810059
581,2821.97998
582,2762.1298829999996
583,2648.939941
584,2695.139893
585,2681.659912
586,2581.0
587,2619.550049
588,2656.0
589,2662.939941
590,2698.6298829999996
591,2731.199951
592,2732.219971
593,2716.26001
594,2701.330078
595,2703.959961
596,2747.300049
597,2779.600098
598,2744.280029
599,2713.830078
600,2677.669922
601,2691.25
602,2720.939941
603,2728.1201170000004
604,2726.800049
605,2738.969971
606,2786.570068
607,2783.02002
608,2765.310059
609,2749.47998
610,2747.330078
611,2752.01001
612,2712.919922
613,2716.939941
614,2711.929932
615,2643.689941
616,2588.26001
617,2658.550049
618,2612.6201170000004
619,2605.0
620,2640.8701170000004
621,2581.8798829999996
622,2614.449951
623,2644.689941
624,2662.840088
625,2604.469971
626,2613.159912
627,2656.8701170000004
628,2642.189941
629,2663.98999
630,2656.300049
631,2677.840088
632,2706.389893
633,2708.639893
634,2693.1298829999996
635,2670.139893
636,2670.290039
637,2634.560059
638,2639.399902
639,2666.939941
640,2669.909912
641,2648.050049
642,2654.800049
643,2635.669922
644,2629.72998
645,2663.419922
646,2672.6298829999996
647,2671.919922
648,2697.790039
649,2723.070068
650,2727.719971
651,2730.1298829999996
652,2711.449951
653,2722.459961
654,2720.1298829999996
655,2712.969971
656,2733.01001
657,2724.439941
658,2733.290039
659,2727.76001
660,2721.330078
661,2689.860107
662,2724.01001
663,2705.27002
664,2734.6201170000004
665,2746.8701170000004
666,2748.800049
